Id_Venda;Ordem_Compra;Data_Venda;SKU;ID_Cliente;Qtd_Vendida
SO45164;1;15/01/2020;HL70;11453;1
SO45165;1;16/01/2020;HL46;22881;1
SO45166;1;16/01/2020;HL45;19083;1
SO45167;1;16/01/2020;HL44;18706;1
SO45168;1;16/01/2020;HL45;18738;1
SO45169;1;16/01/2020;HL47;18766;1
SO45170;1;16/01/2020;HL72;11462;1
SO45171;1;16/01/2020;HL66;11754;1
SO45172;1;17/01/2020;HL60;18008;1
SO45173;1;17/01/2020;HL47;29157;1
SO45174;1;17/01/2020;HL46;29198;1
SO45175;1;17/01/2020;HL46;29238;1
SO45176;1;17/01/2020;HL46;29254;1
SO45177;1;17/01/2020;HL47;18903;1
SO45178;1;17/01/2020;HL68;11456;1
SO45179;1;17/01/2020;HL72;11457;1
SO45180;1;18/01/2020;HL44;15046;1
SO45181;1;18/01/2020;HL43;14929;1
SO45182;1;18/01/2020;HL45;18769;1
SO45183;1;18/01/2020;HL60;25711;1
SO45184;1;18/01/2020;HL53;25717;1
SO45185;1;18/01/2020;HL43;14949;1
SO45186;1;19/01/2020;HL46;14991;1
SO45187;1;19/01/2020;HL43;15047;1
SO45188;1;19/01/2020;HL44;14861;1
SO45189;1;19/01/2020;HL43;29145;1
SO45190;1;19/01/2020;HL46;18931;1
SO45191;1;19/01/2020;HL57;14660;1
SO45192;1;20/01/2020;HL47;14846;1
SO45193;1;20/01/2020;HL43;22889;1
SO45194;1;20/01/2020;HL46;29221;1
SO45195;1;20/01/2020;HL46;18929;1
SO45196;1;20/01/2020;HL44;18739;1
SO45197;1;20/01/2020;HL47;18902;1
SO45198;1;21/01/2020;HL46;14847;1
SO45199;1;21/01/2020;HL67;29476;1
SO45200;1;21/01/2020;HL44;29148;1
SO45201;1;21/01/2020;HL45;29168;1
SO45202;1;21/01/2020;HL47;19094;1
SO45203;1;21/01/2020;HL47;18907;1
SO45204;1;21/01/2020;HL66;11460;1
SO45205;1;22/01/2020;HL65;28420;1
SO45206;1;22/01/2020;HL46;12474;1
SO45207;1;22/01/2020;HL45;29156;1
SO45208;1;22/01/2020;HL65;19884;1
SO45209;1;22/01/2020;HL47;29201;1
SO45210;1;22/01/2020;HL44;29239;1
SO45211;1;22/01/2020;HL44;18724;1
SO45212;1;22/01/2020;HL47;18729;1
SO45213;1;22/01/2020;HL70;11464;1
SO45214;1;23/01/2020;HL43;12464;1
SO45215;1;23/01/2020;HL45;29208;1
SO45216;1;23/01/2020;HL46;29261;1
SO45217;1;24/01/2020;HL47;29144;1
SO45218;1;24/01/2020;HL66;25982;1
SO45219;1;24/01/2020;HL46;22893;1
SO45220;1;24/01/2020;HL45;29207;1
SO45221;1;24/01/2020;HL47;22903;1
SO45222;1;24/01/2020;HL58;14728;1
SO45223;1;24/01/2020;HL45;18930;1
SO45224;1;24/01/2020;HL44;18723;1
SO45225;1;25/01/2020;HL62;14653;1
SO45226;1;25/01/2020;HL64;14662;1
SO45227;1;25/01/2020;HL54;14726;1
SO45228;1;25/01/2020;HL47;18768;1
SO45229;1;26/01/2020;HL70;11387;1
SO45231;1;26/01/2020;HL47;18908;1
SO45232;1;26/01/2020;HL43;18736;1
SO45233;1;26/01/2020;HL65;11472;1
SO45234;1;27/01/2020;HL57;18009;1
SO45235;1;27/01/2020;HL47;29147;1
SO45236;1;27/01/2020;HL45;18731;1
SO45237;1;27/01/2020;HL47;18737;1
SO45238;1;27/01/2020;HL67;11459;1
SO45240;1;28/01/2020;HL43;29155;1
SO45241;1;28/01/2020;HL44;29203;1
SO45242;1;28/01/2020;HL44;29223;1
SO45243;1;28/01/2020;HL60;25715;1
SO45244;1;28/01/2020;HL71;11756;1
SO45245;1;29/01/2020;HL43;18928;1
SO45246;1;29/01/2020;HL43;18709;1
SO45247;1;29/01/2020;HL60;25716;1
SO45248;1;29/01/2020;HL65;11451;1
SO45249;1;30/01/2020;HL43;14928;1
SO45250;1;30/01/2020;HL43;14147;1
SO45251;1;30/01/2020;HL60;19422;1
SO45252;1;30/01/2020;HL45;22877;1
SO45253;1;30/01/2020;HL47;29237;1
SO45254;1;30/01/2020;HL47;29252;1
SO45255;1;30/01/2020;HL47;29258;1
SO45256;1;30/01/2020;HL61;14664;1
SO45257;1;30/01/2020;HL47;18718;1
SO45258;1;30/01/2020;HL63;25712;1
SO45259;1;31/01/2020;HL47;29225;1
SO45260;1;31/01/2020;HL43;29150;1
SO45261;1;31/01/2020;HL45;29175;1
SO45262;1;31/01/2020;HL46;29265;1
SO45263;1;31/01/2020;HL63;14722;1
SO45264;1;31/01/2020;HL70;11454;1
SO45265;1;31/01/2020;HL71;11461;1
SO45345;1;01/02/2020;HL46;15048;1
SO45347;1;01/02/2020;HL64;14733;1
SO45348;1;01/02/2020;HL44;19562;1
SO45349;1;01/02/2020;HL45;19568;1
SO45350;1;01/02/2020;HL44;19613;1
SO45351;1;02/02/2020;HL46;12520;1
SO45352;1;02/02/2020;HL46;15081;1
SO45353;1;02/02/2020;HL43;28630;1
SO45354;1;02/02/2020;HL63;19432;1
SO45355;1;02/02/2020;HL45;28778;1
SO45356;1;02/02/2020;HL46;19096;1
SO45357;1;03/02/2020;HL72;28443;1
SO45358;1;03/02/2020;HL45;23172;1
SO45359;1;03/02/2020;HL46;11227;1
SO45360;1;03/02/2020;HL46;28036;1
SO45361;1;03/02/2020;HL45;23057;1
SO45362;1;03/02/2020;HL46;19271;1
SO45363;1;03/02/2020;HL45;19565;1
SO45364;1;04/02/2020;HL44;14161;1
SO45365;1;04/02/2020;HL46;15078;1
SO45366;1;04/02/2020;HL58;18011;1
SO45367;1;04/02/2020;HL57;20561;1
SO45368;1;04/02/2020;HL57;14732;1
SO45369;1;04/02/2020;HL47;19269;1
SO45370;1;04/02/2020;HL45;19270;1
SO45371;1;05/02/2020;HL43;15062;1
SO45372;1;05/02/2020;HL69;28449;1
SO45373;1;05/02/2020;HL70;25994;1
SO45374;1;05/02/2020;HL45;22996;1
SO45375;1;05/02/2020;HL46;19596;1
SO45376;1;05/02/2020;HL65;11761;1
SO45377;1;06/02/2020;HL46;15077;1
SO45378;1;06/02/2020;HL43;28178;1
SO45379;1;06/02/2020;HL46;28363;1
SO45380;1;06/02/2020;HL55;18010;1
SO45381;1;06/02/2020;HL65;19988;1
SO45382;1;06/02/2020;HL46;11129;1
SO45383;1;06/02/2020;HL59;14734;1
SO45384;1;06/02/2020;HL62;26789;1
SO45385;1;06/02/2020;HL60;14735;1
SO45386;1;06/02/2020;HL45;19607;1
SO45387;1;07/02/2020;HL43;11224;1
SO45388;1;07/02/2020;HL71;25986;1
SO45389;1;07/02/2020;HL43;11090;1
SO45390;1;07/02/2020;HL43;19560;1
SO45391;1;07/02/2020;HL46;19588;1
SO45392;1;07/02/2020;HL65;11762;1
SO45393;1;08/02/2020;HL45;14171;1
SO45394;1;08/02/2020;HL69;11468;1
SO45395;1;08/02/2020;HL46;29352;1
SO45396;1;08/02/2020;HL45;19594;1
SO45397;1;09/02/2020;HL46;15051;1
SO45398;1;09/02/2020;HL45;15059;1
SO45400;1;10/02/2020;HL46;14162;1
SO45401;1;10/02/2020;HL43;15058;1
SO45402;1;10/02/2020;HL65;11413;1
SO45404;1;10/02/2020;HL43;11217;1
SO45405;1;10/02/2020;HL45;23209;1
SO45406;1;10/02/2020;HL72;25987;1
SO45407;1;10/02/2020;HL47;29285;1
SO45408;1;10/02/2020;HL47;29326;1
SO45409;1;10/02/2020;HL45;19612;1
SO45410;1;11/02/2020;HL43;14149;1
SO45411;1;11/02/2020;HL46;28197;1
SO45412;1;11/02/2020;HL43;23137;1
SO45413;1;11/02/2020;HL45;11191;1
SO45414;1;11/02/2020;HL58;18038;1
SO45415;1;11/02/2020;HL45;28092;1
SO45416;1;11/02/2020;HL43;28161;1
SO45417;1;11/02/2020;HL43;28620;1
SO45418;1;11/02/2020;HL44;19264;1
SO45419;1;11/02/2020;HL47;19555;1
SO45420;1;11/02/2020;HL46;19561;1
SO45421;1;11/02/2020;HL46;19576;1
SO45422;1;12/02/2020;HL43;28198;1
SO45423;1;12/02/2020;HL69;19997;1
SO45424;1;12/02/2020;HL44;28165;1
SO45425;1;13/02/2020;HL43;15056;1
SO45427;1;13/02/2020;HL70;29481;1
SO45428;1;13/02/2020;HL67;11414;1
SO45429;1;13/02/2020;HL43;28129;1
SO45430;1;13/02/2020;HL45;28176;1
SO45431;1;13/02/2020;HL44;28013;1
SO45432;1;14/02/2020;HL45;14167;1
SO45433;1;14/02/2020;HL43;12547;1
SO45434;1;14/02/2020;HL44;11252;1
SO45435;1;14/02/2020;HL61;20562;1
SO45436;1;14/02/2020;HL45;28130;1
SO45437;1;14/02/2020;HL45;28169;1
SO45438;1;14/02/2020;HL43;29334;1
SO45439;1;14/02/2020;HL56;25823;1
SO45440;1;15/02/2020;HL45;14198;1
SO45441;1;15/02/2020;HL45;11216;1
SO45442;1;15/02/2020;HL47;29335;1
SO45443;1;15/02/2020;HL46;29350;1
SO45444;1;15/02/2020;HL43;19102;1
SO45445;1;15/02/2020;HL43;19105;1
SO45446;1;16/02/2020;HL66;25990;1
SO45447;1;16/02/2020;HL46;19558;1
SO45448;1;16/02/2020;HL55;25718;1
SO45449;1;17/02/2020;HL43;14189;1
SO45450;1;17/02/2020;HL45;28624;1
SO45451;1;17/02/2020;HL44;29279;1
SO45452;1;17/02/2020;HL47;19559;1
SO45453;1;18/02/2020;HL44;12549;1
SO45454;1;18/02/2020;HL45;23074;1
SO45455;1;19/02/2020;HL43;14163;1
SO45456;1;19/02/2020;HL45;23113;1
SO45457;1;19/02/2020;HL46;27752;1
SO45458;1;19/02/2020;HL44;19599;1
SO45459;1;19/02/2020;HL43;19605;1
SO45461;1;20/02/2020;HL44;28646;1
SO45462;1;20/02/2020;HL43;28647;1
SO45463;1;20/02/2020;HL45;11171;1
SO45464;1;20/02/2020;HL47;19586;1
SO45465;1;20/02/2020;HL64;25819;1
SO45466;1;21/02/2020;HL44;19611;1
SO45467;1;22/02/2020;HL66;11422;1
SO45468;1;22/02/2020;HL44;23164;1
SO45469;1;22/02/2020;HL71;19989;1
SO45470;1;22/02/2020;HL45;28177;1
SO45471;1;22/02/2020;HL46;29280;1
SO45472;1;22/02/2020;HL46;19095;1
SO45473;1;22/02/2020;HL43;19592;1
SO45474;1;22/02/2020;HL43;19595;1
SO45475;1;22/02/2020;HL46;19601;1
SO45476;1;22/02/2020;HL47;19614;1
SO45477;1;23/02/2020;HL46;14160;1
SO45478;1;23/02/2020;HL46;29354;1
SO45479;1;23/02/2020;HL46;19099;1
SO45480;1;23/02/2020;HL46;19564;1
SO45481;1;23/02/2020;HL46;19563;1
SO45482;1;24/02/2020;HL43;12522;1
SO45483;1;24/02/2020;HL47;14181;1
SO45484;1;24/02/2020;HL46;23267;1
SO45485;1;24/02/2020;HL45;11257;1
SO45486;1;24/02/2020;HL55;14737;1
SO45487;1;24/02/2020;HL46;19556;1
SO45488;1;24/02/2020;HL44;19577;1
SO45489;1;24/02/2020;HL43;19602;1
SO45490;1;24/02/2020;HL46;22976;1
SO45491;1;25/02/2020;HL44;27672;1
SO45492;1;25/02/2020;HL58;19429;1
SO45493;1;25/02/2020;HL53;14731;1
SO45494;1;25/02/2020;HL43;19609;1
SO45495;1;25/02/2020;HL64;25821;1
SO45496;1;26/02/2020;HL47;29340;1
SO45497;1;26/02/2020;HL44;28354;1
SO45498;1;26/02/2020;HL45;28574;1
SO45499;1;26/02/2020;HL47;28626;1
SO45501;1;26/02/2020;HL71;25993;1
SO45502;1;26/02/2020;HL47;28173;1
SO45503;1;26/02/2020;HL47;22995;1
SO45504;1;26/02/2020;HL63;14730;1
SO45505;1;26/02/2020;HL46;19593;1
SO45506;1;26/02/2020;HL44;19615;1
SO45507;1;26/02/2020;HL47;19616;1
SO45508;1;27/02/2020;HL43;12510;1
SO45509;1;27/02/2020;HL43;14148;1
SO45510;1;27/02/2020;HL43;22998;1
SO45511;1;28/02/2020;HL44;12523;1
SO45512;1;28/02/2020;HL45;11175;1
SO45513;1;28/02/2020;HL69;25996;1
SO45514;1;28/02/2020;HL47;28051;1
SO45515;1;28/02/2020;HL43;19557;1
SO45580;1;01/03/2020;HL43;14428;1
SO45581;1;01/03/2020;HL46;11263;1
SO45582;1;01/03/2020;HL45;28656;1
SO45583;1;01/03/2020;HL44;11274;1
SO45584;1;01/03/2020;HL61;25828;1
SO45585;1;01/03/2020;HL72;11905;1
SO45586;1;02/03/2020;HL44;12613;1
SO45587;1;02/03/2020;HL43;11531;1
SO45588;1;02/03/2020;HL46;11275;1
SO45589;1;02/03/2020;HL47;19784;1
SO45590;1;02/03/2020;HL44;19763;1
SO45591;1;02/03/2020;HL56;25831;1
SO45592;1;02/03/2020;HL66;11897;1
SO45593;1;03/03/2020;HL43;15118;1
SO45594;1;03/03/2020;HL45;11282;1
SO45595;1;03/03/2020;HL47;11515;1
SO45596;1;03/03/2020;HL59;20564;1
SO45598;1;03/03/2020;HL63;14744;1
SO45599;1;03/03/2020;HL45;19794;1
SO45600;1;03/03/2020;HL46;19628;1
SO45601;1;03/03/2020;HL69;11893;1
SO45602;1;04/03/2020;HL45;12607;1
SO45603;1;04/03/2020;HL45;11296;1
SO45604;1;04/03/2020;HL47;11317;1
SO45605;1;04/03/2020;HL44;11626;1
SO45606;1;04/03/2020;HL45;19967;1
SO45607;1;04/03/2020;HL58;25830;1
SO45608;1;04/03/2020;HL70;11896;1
SO45609;1;04/03/2020;HL44;14774;1
SO45610;1;05/03/2020;HL43;11303;1
SO45611;1;05/03/2020;HL43;11535;1
SO45612;1;05/03/2020;HL45;14795;1
SO45613;1;06/03/2020;HL47;11522;1
SO45614;1;06/03/2020;HL45;23385;1
SO45615;1;06/03/2020;HL64;18137;1
SO45616;1;06/03/2020;HL47;14800;1
SO45617;1;06/03/2020;HL44;15354;1
SO45618;1;06/03/2020;HL44;12618;1
SO45619;1;06/03/2020;HL44;19787;1
SO45620;1;06/03/2020;HL47;19951;1
SO45621;1;06/03/2020;HL67;11768;1
SO45622;1;07/03/2020;HL65;28470;1
SO45623;1;07/03/2020;HL44;14769;1
SO45624;1;07/03/2020;HL46;11291;1
SO45625;1;07/03/2020;HL47;11307;1
SO45626;1;07/03/2020;HL43;11259;1
SO45627;1;07/03/2020;HL55;18039;1
SO45628;1;07/03/2020;HL47;19795;1
SO45629;1;07/03/2020;HL68;11892;1
SO45630;1;07/03/2020;HL72;11899;1
SO45631;1;08/03/2020;HL71;11237;1
SO45632;1;08/03/2020;HL47;14775;1
SO45633;1;08/03/2020;HL72;26011;1
SO45634;1;08/03/2020;HL47;19766;1
SO45635;1;09/03/2020;HL46;23351;1
SO45636;1;09/03/2020;HL44;11302;1
SO45637;1;09/03/2020;HL47;11525;1
SO45638;1;09/03/2020;HL55;14746;1
SO45639;1;09/03/2020;HL44;19782;1
SO45640;1;09/03/2020;HL44;19964;1
SO45641;1;10/03/2020;HL44;23306;1
SO45642;1;10/03/2020;HL46;11623;1
SO45643;1;11/03/2020;HL43;14541;1
SO45644;1;11/03/2020;HL71;28458;1
SO45645;1;11/03/2020;HL72;11482;1
SO45646;1;11/03/2020;HL45;11289;1
SO45647;1;11/03/2020;HL68;25997;1
SO45648;1;11/03/2020;HL45;19791;1
SO45649;1;12/03/2020;HL43;11319;1
SO45650;1;12/03/2020;HL45;28652;1
SO45651;1;12/03/2020;HL44;19771;1
SO45652;1;12/03/2020;HL60;25826;1
SO45653;1;12/03/2020;HL68;11764;1
SO45654;1;13/03/2020;HL69;28478;1
SO45655;1;13/03/2020;HL45;11323;1
SO45656;1;13/03/2020;HL46;11617;1
SO45657;1;13/03/2020;HL44;11266;1
SO45658;1;13/03/2020;HL45;11270;1
SO45659;1;13/03/2020;HL70;26003;1
SO45660;1;13/03/2020;HL45;19797;1
SO45661;1;13/03/2020;HL64;25827;1
SO45662;1;13/03/2020;HL71;11906;1
SO45663;1;13/03/2020;HL68;11901;1
SO45664;1;14/03/2020;HL45;14713;1
SO45665;1;14/03/2020;HL67;26004;1
SO45666;1;14/03/2020;HL56;14738;1
SO45667;1;14/03/2020;HL47;19957;1
SO45668;1;15/03/2020;HL45;11298;1
SO45669;1;15/03/2020;HL47;11528;1
SO45670;1;15/03/2020;HL43;11541;1
SO45671;1;15/03/2020;HL45;11628;1
SO45672;1;15/03/2020;HL63;19438;1
SO45673;1;15/03/2020;HL45;19790;1
SO45674;1;15/03/2020;HL47;19948;1
SO45675;1;15/03/2020;HL63;25829;1
SO45676;1;15/03/2020;HL70;11765;1
SO45677;1;15/03/2020;HL69;11895;1
SO45678;1;16/03/2020;HL46;11281;1
SO45679;1;16/03/2020;HL47;11540;1
SO45680;1;16/03/2020;HL43;23283;1
SO45681;1;16/03/2020;HL47;19789;1
SO45682;1;16/03/2020;HL45;19950;1
SO45683;1;17/03/2020;HL44;14709;1
SO45684;1;17/03/2020;HL66;11485;1
SO45685;1;17/03/2020;HL54;18132;1
SO45686;1;17/03/2020;HL67;25998;1
SO45687;1;17/03/2020;HL65;26005;1
SO45688;1;17/03/2020;HL53;14741;1
SO45689;1;17/03/2020;HL45;19773;1
SO45690;1;17/03/2020;HL43;19958;1
SO45691;1;17/03/2020;HL65;11898;1
SO45692;1;18/03/2020;HL46;14425;1
SO45693;1;18/03/2020;HL46;15083;1
SO45694;1;18/03/2020;HL45;15097;1
SO45695;1;18/03/2020;HL44;11292;1
SO45696;1;18/03/2020;HL47;11326;1
SO45697;1;18/03/2020;HL47;11516;1
SO45698;1;18/03/2020;HL56;14747;1
SO45699;1;18/03/2020;HL61;14750;1
SO45700;1;19/03/2020;HL43;11278;1
SO45701;1;19/03/2020;HL44;11538;1
SO45702;1;19/03/2020;HL53;18131;1
SO45703;1;19/03/2020;HL43;19947;1
SO45704;1;20/03/2020;HL45;14772;1
SO45705;1;20/03/2020;HL44;23378;1
SO45706;1;20/03/2020;HL46;11267;1
SO45707;1;20/03/2020;HL66;11904;1
SO45708;1;20/03/2020;HL46;19765;1
SO45709;1;20/03/2020;HL46;19793;1
SO45710;1;20/03/2020;HL43;19963;1
SO45711;1;20/03/2020;HL46;19621;1
SO45712;1;20/03/2020;HL67;11767;1
SO45713;1;21/03/2020;HL47;15088;1
SO45714;1;21/03/2020;HL45;11534;1
SO45715;1;21/03/2020;HL43;19770;1
SO45716;1;21/03/2020;HL43;19783;1
SO45717;1;22/03/2020;HL43;11325;1
SO45718;1;22/03/2020;HL44;11272;1
SO45719;1;22/03/2020;HL71;20000;1
SO45720;1;22/03/2020;HL46;19653;1
SO45721;1;22/03/2020;HL66;11766;1
SO45722;1;22/03/2020;HL72;11908;1
SO45723;1;23/03/2020;HL44;11290;1
SO45724;1;23/03/2020;HL45;12620;1
SO45725;1;23/03/2020;HL45;14789;1
SO45726;1;23/03/2020;HL46;12614;1
SO45727;1;23/03/2020;HL71;11909;1
SO45728;1;24/03/2020;HL46;14426;1
SO45729;1;24/03/2020;HL46;15087;1
SO45730;1;24/03/2020;HL71;28471;1
SO45731;1;24/03/2020;HL43;11286;1
SO45732;1;24/03/2020;HL44;11537;1
SO45733;1;24/03/2020;HL44;11624;1
SO45734;1;24/03/2020;HL47;11630;1
SO45735;1;24/03/2020;HL47;19792;1
SO45736;1;24/03/2020;HL43;19960;1
SO45737;1;24/03/2020;HL44;19965;1
SO45738;1;24/03/2020;HL67;11900;1
SO45739;1;24/03/2020;HL69;11903;1
SO45740;1;25/03/2020;HL47;19786;1
SO45741;1;25/03/2020;HL47;19788;1
SO45742;1;25/03/2020;HL45;19620;1
SO45743;1;25/03/2020;HL46;19631;1
SO45744;1;25/03/2020;HL72;11894;1
SO45745;1;26/03/2020;HL45;15089;1
SO45746;1;26/03/2020;HL45;23376;1
SO45747;1;26/03/2020;HL47;11539;1
SO45748;1;26/03/2020;HL59;18046;1
SO45749;1;26/03/2020;HL44;14797;1
SO45750;1;26/03/2020;HL66;26001;1
SO45751;1;26/03/2020;HL63;14739;1
SO45752;1;26/03/2020;HL47;19772;1
SO45753;1;26/03/2020;HL44;19966;1
SO45754;1;27/03/2020;HL44;11529;1
SO45755;1;27/03/2020;HL47;11536;1
SO45756;1;27/03/2020;HL46;11625;1
SO45757;1;28/03/2020;HL45;12561;1
SO45758;1;28/03/2020;HL45;15106;1
SO45759;1;28/03/2020;HL46;11295;1
SO45760;1;28/03/2020;HL44;11329;1
SO45761;1;28/03/2020;HL47;11629;1
SO45762;1;28/03/2020;HL45;12621;1
SO45763;1;28/03/2020;HL47;19959;1
SO45764;1;28/03/2020;HL43;19652;1
SO45765;1;29/03/2020;HL71;11245;1
SO45766;1;29/03/2020;HL45;11297;1
SO45767;1;29/03/2020;HL43;11299;1
SO45768;1;29/03/2020;HL43;11324;1
SO45769;1;29/03/2020;HL47;11327;1
SO45770;1;29/03/2020;HL44;19956;1
SO45771;1;30/03/2020;HL47;11271;1
SO45772;1;30/03/2020;HL46;19785;1
SO45773;1;30/03/2020;HL44;19949;1
SO45774;1;30/03/2020;HL45;11261;1
SO45775;1;31/03/2020;HL47;14207;1
SO45776;1;31/03/2020;HL46;23281;1
SO45777;1;31/03/2020;HL67;11907;1
SO45778;1;31/03/2020;HL72;26002;1
SO45816;1;01/04/2020;HL46;11830;1
SO45817;1;01/04/2020;HL44;14801;1
SO45818;1;01/04/2020;HL57;14868;1
SO45819;1;01/04/2020;HL45;20160;1
SO45820;1;01/04/2020;HL63;25832;1
SO45821;1;02/04/2020;HL67;26041;1
SO45822;1;02/04/2020;HL45;20246;1
SO45823;1;02/04/2020;HL44;20253;1
SO45824;1;03/04/2020;HL45;11696;1
SO45825;1;03/04/2020;HL47;23725;1
SO45826;1;03/04/2020;HL43;23858;1
SO45827;1;03/04/2020;HL45;15440;1
SO45828;1;03/04/2020;HL58;14753;1
SO45829;1;03/04/2020;HL43;20245;1
SO45830;1;03/04/2020;HL47;20151;1
SO45831;1;03/04/2020;HL46;20158;1
SO45832;1;03/04/2020;HL72;11916;1
SO45833;1;04/04/2020;HL46;11815;1
SO45834;1;04/04/2020;HL45;11816;1
SO45835;1;04/04/2020;HL46;11688;1
SO45836;1;04/04/2020;HL44;14823;1
SO45837;1;04/04/2020;HL69;26050;1
SO45838;1;04/04/2020;HL44;20213;1
SO45839;1;04/04/2020;HL70;11915;1
SO45841;1;05/04/2020;HL44;12804;1
SO45842;1;05/04/2020;HL47;11742;1
SO45843;1;05/04/2020;HL45;11775;1
SO45844;1;05/04/2020;HL45;11812;1
SO45845;1;06/04/2020;HL44;23566;1
SO45846;1;06/04/2020;HL47;23592;1
SO45847;1;06/04/2020;HL66;26015;1
SO45848;1;06/04/2020;HL63;14852;1
SO45849;1;06/04/2020;HL45;20154;1
SO45850;1;07/04/2020;HL43;11776;1
SO45851;1;07/04/2020;HL45;11683;1
SO45852;1;07/04/2020;HL63;18143;1
SO45853;1;07/04/2020;HL46;15453;1
SO45854;1;07/04/2020;HL45;15620;1
SO45855;1;07/04/2020;HL62;14754;1
SO45856;1;07/04/2020;HL44;20247;1
SO45857;1;07/04/2020;HL72;11919;1
SO45858;1;07/04/2020;HL71;11952;1
SO45859;1;08/04/2020;HL47;12754;1
SO45860;1;08/04/2020;HL45;23829;1
SO45861;1;08/04/2020;HL44;12650;1
SO45862;1;09/04/2020;HL45;14827;1
SO45863;1;09/04/2020;HL47;11873;1
SO45864;1;09/04/2020;HL44;19968;1
SO45865;1;09/04/2020;HL45;20157;1
SO45866;1;09/04/2020;HL43;15621;1
SO45867;1;10/04/2020;HL45;11772;1
SO45868;1;10/04/2020;HL43;14819;1
SO45869;1;10/04/2020;HL43;14822;1
SO45870;1;10/04/2020;HL70;26012;1
SO45871;1;10/04/2020;HL56;25919;1
SO45872;1;11/04/2020;HL68;11249;1
SO45873;1;11/04/2020;HL47;11925;1
