Id_Venda;Data_Venda;ID_Cliente;ID_Loja
SO45186;19/01/2020;14660;234
SO45187;19/01/2020;14861;230
SO45188;19/01/2020;14991;240
SO45189;19/01/2020;18931;237
SO45190;19/01/2020;15047;214
SO45191;19/01/2020;29145;232
SO45192;20/01/2020;14846;306
SO45193;20/01/2020;18739;309
SO45194;20/01/2020;18929;309
SO45195;20/01/2020;29221;260
SO45196;20/01/2020;18902;234
SO45197;20/01/2020;22889;227
SO45198;21/01/2020;14847;199
SO45199;21/01/2020;18907;306
SO45200;21/01/2020;19094;306
SO45201;21/01/2020;29148;307
SO45202;21/01/2020;11460;307
SO45203;21/01/2020;29168;309
SO45204;21/01/2020;29476;310
SO45205;22/01/2020;11464;308
SO45206;22/01/2020;29156;308
SO45207;22/01/2020;19884;119
SO45208;22/01/2020;28420;61
SO45209;22/01/2020;18724;49
SO45210;22/01/2020;29239;120
SO45211;22/01/2020;12474;134
SO45212;22/01/2020;18729;67
SO45213;22/01/2020;29201;139
SO45214;23/01/2020;29261;107
SO45215;23/01/2020;29208;70
SO45216;23/01/2020;12464;156
SO45217;24/01/2020;29207;200
SO45218;24/01/2020;18930;200
SO45219;24/01/2020;14728;79
SO45220;24/01/2020;25982;277
SO45221;24/01/2020;18723;299
SO45222;24/01/2020;22893;196
SO45223;24/01/2020;29144;26
SO45224;24/01/2020;22903;67
SO45225;25/01/2020;18768;307
SO45226;25/01/2020;14662;307
SO45227;25/01/2020;14653;310
SO45228;25/01/2020;14726;243
SO45229;26/01/2020;11472;178
SO45231;26/01/2020;11387;136
SO45232;26/01/2020;18908;36
SO45233;26/01/2020;18736;80
SO45234;27/01/2020;29147;200
SO45235;27/01/2020;18737;200
SO45236;27/01/2020;18009;199
SO45237;27/01/2020;11459;308
SO45238;27/01/2020;18731;57
SO45240;28/01/2020;29203;310
SO45241;28/01/2020;11756;310
SO45242;28/01/2020;25715;233
SO45243;28/01/2020;29223;296
SO45244;28/01/2020;29155;278
SO45245;29/01/2020;11451;200
SO45246;29/01/2020;25716;111
SO45247;29/01/2020;18928;217
SO45248;29/01/2020;18709;215
SO45249;30/01/2020;29252;200
SO45250;30/01/2020;14664;200
SO45251;30/01/2020;14928;200
SO45252;30/01/2020;18718;199
SO45253;30/01/2020;14147;306
SO45254;30/01/2020;25712;122
SO45255;30/01/2020;19422;253
SO45256;30/01/2020;29237;208
SO45257;30/01/2020;29258;241
SO45258;30/01/2020;22877;144
SO45259;31/01/2020;11461;200
SO45260;31/01/2020;11454;307
SO45261;31/01/2020;29265;308
SO45262;31/01/2020;29225;308
SO45263;31/01/2020;29150;308
SO45264;31/01/2020;14722;310
SO45265;31/01/2020;29175;254
SO45345;01/02/2020;14733;200
SO45347;01/02/2020;19568;309
SO45348;01/02/2020;19562;235
SO45349;01/02/2020;19613;217
SO45350;01/02/2020;15048;233
SO45351;02/02/2020;28778;200
SO45352;02/02/2020;12520;200
SO45353;02/02/2020;28630;199
SO45354;02/02/2020;19096;306
SO45355;02/02/2020;15081;307
SO45356;02/02/2020;19432;233
SO45357;03/02/2020;23172;199
SO45358;03/02/2020;28443;306
SO45359;03/02/2020;23057;307
SO45360;03/02/2020;19565;308
SO45361;03/02/2020;28036;310
SO45362;03/02/2020;19271;310
SO45363;03/02/2020;11227;310
SO45364;04/02/2020;14161;307
SO45365;04/02/2020;18011;307
SO45366;04/02/2020;15078;307
SO45367;04/02/2020;19269;307
SO45368;04/02/2020;19270;307
SO45369;04/02/2020;14732;307
SO45370;04/02/2020;20561;307
SO45371;05/02/2020;19596;310
SO45372;05/02/2020;11761;259
SO45373;05/02/2020;28449;253
SO45374;05/02/2020;25994;256
SO45375;05/02/2020;22996;276
SO45376;05/02/2020;15062;259
SO45377;06/02/2020;26789;278
SO45378;06/02/2020;18010;275
SO45379;06/02/2020;19988;278
SO45380;06/02/2020;14734;254
SO45381;06/02/2020;14735;251
SO45382;06/02/2020;15077;278
SO45383;06/02/2020;11129;251
SO45384;06/02/2020;28363;142
SO45385;06/02/2020;19607;1
SO45386;06/02/2020;28178;254
SO45387;07/02/2020;25986;68
SO45388;07/02/2020;11762;150
SO45389;07/02/2020;19588;126
SO45390;07/02/2020;19560;36
SO45391;07/02/2020;11224;101
SO45392;07/02/2020;11090;101
SO45393;08/02/2020;11468;113
SO45394;08/02/2020;29352;50
SO45395;08/02/2020;14171;182
SO45396;08/02/2020;19594;291
SO45397;09/02/2020;15051;136
SO45398;09/02/2020;15059;5
SO45400;10/02/2020;25987;159
SO45401;10/02/2020;11413;57
SO45402;10/02/2020;14162;1
SO45404;10/02/2020;29285;159
SO45405;10/02/2020;29326;185
SO45406;10/02/2020;23209;113
SO45407;10/02/2020;19612;136
SO45408;10/02/2020;15058;5
SO45409;10/02/2020;11217;180
SO45410;11/02/2020;28092;200
SO45411;11/02/2020;19561;200
SO45412;11/02/2020;18038;291
SO45413;11/02/2020;19264;164
SO45414;11/02/2020;28197;36
SO45415;11/02/2020;19576;144
SO45416;11/02/2020;19555;188
SO45417;11/02/2020;11191;101
SO45418;11/02/2020;23137;175
SO45419;11/02/2020;28620;185
SO45420;11/02/2020;14149;150
SO45421;11/02/2020;28161;128
SO45422;12/02/2020;28165;200
SO45423;12/02/2020;19997;200
SO45424;12/02/2020;28198;199
SO45425;13/02/2020;11414;199
SO45427;13/02/2020;29481;199
SO45428;13/02/2020;28013;179
SO45429;13/02/2020;28176;45
SO45430;13/02/2020;15056;86
SO45431;13/02/2020;28129;178
SO45432;14/02/2020;25823;170
SO45433;14/02/2020;20562;55
SO45434;14/02/2020;11252;20
SO45435;14/02/2020;28130;104
SO45436;14/02/2020;28169;197
SO45437;14/02/2020;14167;23
SO45438;14/02/2020;12547;112
SO45439;14/02/2020;29334;179
SO45440;15/02/2020;29350;149
SO45441;15/02/2020;29335;95
SO45442;15/02/2020;14198;115
SO45443;15/02/2020;11216;37
SO45444;15/02/2020;19102;26
SO45445;15/02/2020;19105;121
SO45446;16/02/2020;25990;145
SO45447;16/02/2020;25718;283
SO45448;16/02/2020;19558;190
SO45449;17/02/2020;29279;286
SO45450;17/02/2020;19559;52
SO45451;17/02/2020;28624;73
SO45452;17/02/2020;14189;14
SO45453;18/02/2020;12549;93
SO45454;18/02/2020;23074;167
SO45455;19/02/2020;19599;169
SO45456;19/02/2020;27752;52
SO45457;19/02/2020;23113;175
SO45458;19/02/2020;19605;104
SO45459;19/02/2020;14163;194
SO45461;20/02/2020;25819;75
SO45462;20/02/2020;28646;147
SO45463;20/02/2020;19586;50
SO45464;20/02/2020;11171;172
SO45465;20/02/2020;28647;190
SO45466;21/02/2020;19611;119
SO45467;22/02/2020;11422;34
SO45468;22/02/2020;19989;20
SO45469;22/02/2020;23164;131
SO45470;22/02/2020;19601;284
SO45471;22/02/2020;29280;181
SO45472;22/02/2020;19095;161
SO45473;22/02/2020;19614;285
SO45474;22/02/2020;28177;114
SO45475;22/02/2020;19595;53
SO45476;22/02/2020;19592;41
SO45477;23/02/2020;14160;175
SO45478;23/02/2020;29354;110
SO45479;23/02/2020;19564;140
SO45480;23/02/2020;19563;85
SO45481;23/02/2020;19099;179
SO45482;24/02/2020;14737;103
SO45483;24/02/2020;19577;108
SO45484;24/02/2020;22976;82
SO45485;24/02/2020;23267;32
SO45486;24/02/2020;19556;112
SO45487;24/02/2020;14181;151
SO45488;24/02/2020;11257;8
SO45489;24/02/2020;12522;52
SO45490;24/02/2020;19602;47
SO45491;25/02/2020;19429;35
SO45492;25/02/2020;25821;14
SO45493;25/02/2020;14731;62
SO45494;25/02/2020;27672;180
SO45495;25/02/2020;19609;190
SO45496;26/02/2020;25993;31
SO45497;26/02/2020;14730;4
SO45498;26/02/2020;19615;100
SO45499;26/02/2020;28354;53
SO45501;26/02/2020;19593;46
SO45502;26/02/2020;28626;127
SO45503;26/02/2020;22995;82
SO45504;26/02/2020;29340;121
SO45505;26/02/2020;19616;61
SO45506;26/02/2020;28173;77
SO45507;26/02/2020;28574;60
SO45508;27/02/2020;22998;140
SO45509;27/02/2020;12510;7
SO45510;27/02/2020;14148;125
SO45511;28/02/2020;25996;131
SO45512;28/02/2020;12523;149
SO45513;28/02/2020;28051;286
SO45514;28/02/2020;11175;36
SO45515;28/02/2020;19557;2
SO45580;01/03/2020;11905;198
SO45581;01/03/2020;25828;189
SO45582;01/03/2020;11274;46
SO45583;01/03/2020;11263;91
SO45584;01/03/2020;28656;148
SO45585;01/03/2020;14428;165
SO45586;02/03/2020;11897;152
SO45587;02/03/2020;25831;43
SO45588;02/03/2020;12613;143
SO45589;02/03/2020;19763;135
SO45590;02/03/2020;11275;96
SO45591;02/03/2020;19784;55
SO45592;02/03/2020;11531;138
SO45593;03/03/2020;14744;37
SO45594;03/03/2020;20564;43
SO45595;03/03/2020;11893;61
SO45596;03/03/2020;19628;60
SO45598;03/03/2020;11515;28
SO45599;03/03/2020;11282;2
SO45600;03/03/2020;19794;30
SO45601;03/03/2020;15118;94
SO45602;04/03/2020;11896;79
SO45603;04/03/2020;25830;72
SO45604;04/03/2020;11626;22
SO45605;04/03/2020;14774;150
SO45606;04/03/2020;11317;144
SO45607;04/03/2020;19967;25
SO45608;04/03/2020;11296;4
SO45609;04/03/2020;12607;34
SO45610;05/03/2020;14795;172
SO45611;05/03/2020;11535;124
SO45612;05/03/2020;11303;72
SO45613;06/03/2020;11768;154
SO45614;06/03/2020;18137;165
SO45615;06/03/2020;19787;17
SO45616;06/03/2020;15354;112
SO45617;06/03/2020;12618;195
SO45618;06/03/2020;14800;4
SO45619;06/03/2020;11522;185
SO45620;06/03/2020;19951;151
SO45621;06/03/2020;23385;62
SO45622;07/03/2020;11899;114
SO45623;07/03/2020;11892;137
SO45624;07/03/2020;18039;282
SO45625;07/03/2020;28470;23
SO45626;07/03/2020;14769;161
SO45627;07/03/2020;11291;190
SO45628;07/03/2020;19795;113
SO45629;07/03/2020;11307;51
SO45630;07/03/2020;11259;116
SO45631;08/03/2020;11237;131
SO45632;08/03/2020;26011;11
SO45633;08/03/2020;14775;20
SO45634;08/03/2020;19766;38
SO45635;09/03/2020;14746;283
SO45636;09/03/2020;19782;76
SO45637;09/03/2020;19964;110
SO45638;09/03/2020;11302;89
SO45639;09/03/2020;23351;35
SO45640;09/03/2020;11525;138
SO45641;10/03/2020;23306;88
SO45642;10/03/2020;11623;77
SO45643;11/03/2020;11482;74
SO45644;11/03/2020;28458;171
SO45645;11/03/2020;25997;71
SO45646;11/03/2020;11289;53
SO45647;11/03/2020;19791;34
SO45648;11/03/2020;14541;143
SO45649;12/03/2020;11764;190
SO45650;12/03/2020;25826;195
SO45651;12/03/2020;19771;41
SO45652;12/03/2020;28652;34
SO45653;12/03/2020;11319;69
SO45654;13/03/2020;26003;42
SO45655;13/03/2020;11906;8
SO45656;13/03/2020;25827;42
SO45657;13/03/2020;28478;189
SO45658;13/03/2020;11901;66
SO45659;13/03/2020;11266;115
SO45660;13/03/2020;11617;64
SO45661;13/03/2020;19797;19
SO45662;13/03/2020;11323;287
SO45663;13/03/2020;11270;157
SO45664;14/03/2020;26004;79
SO45665;14/03/2020;14738;67
SO45666;14/03/2020;19957;16
SO45667;14/03/2020;14713;34
SO45668;15/03/2020;11895;174
SO45669;15/03/2020;11765;191
SO45670;15/03/2020;19438;126
SO45671;15/03/2020;25829;29
SO45672;15/03/2020;11528;160
SO45673;15/03/2020;19948;92
SO45674;15/03/2020;19790;16
SO45675;15/03/2020;11298;166
SO45676;15/03/2020;11628;75
SO45677;15/03/2020;11541;129
SO45678;16/03/2020;11281;41
SO45679;16/03/2020;11540;186
SO45680;16/03/2020;19789;21
SO45681;16/03/2020;19950;191
SO45682;16/03/2020;23283;123
SO45683;17/03/2020;18132;141
SO45684;17/03/2020;11898;283
SO45685;17/03/2020;11485;10
SO45686;17/03/2020;26005;17
SO45687;17/03/2020;14741;147
SO45688;17/03/2020;25998;97
SO45689;17/03/2020;14709;149
SO45690;17/03/2020;19773;167
SO45691;17/03/2020;19958;64
SO45692;18/03/2020;14747;80
SO45693;18/03/2020;14750;112
SO45694;18/03/2020;11292;285
SO45695;18/03/2020;15083;174
SO45696;18/03/2020;14425;63
SO45697;18/03/2020;11516;140
SO45698;18/03/2020;11326;162
SO45699;18/03/2020;15097;70
SO45700;19/03/2020;18131;43
SO45701;19/03/2020;11538;59
SO45702;19/03/2020;19947;19
SO45703;19/03/2020;11278;285
SO45704;20/03/2020;11904;156
SO45705;20/03/2020;11767;161
SO45706;20/03/2020;23378;117
SO45707;20/03/2020;11267;7
SO45708;20/03/2020;19621;131
SO45709;20/03/2020;19765;137
SO45710;20/03/2020;19793;25
SO45711;20/03/2020;14772;177
SO45712;20/03/2020;19963;282
SO45713;21/03/2020;15088;111
SO45714;21/03/2020;11534;22
SO45715;21/03/2020;19770;94
SO45716;21/03/2020;19783;39
SO45717;22/03/2020;20000;199
SO45718;22/03/2020;11272;199
SO45719;22/03/2020;11908;199
SO45720;22/03/2020;19653;199
SO45721;22/03/2020;11766;29
SO45722;22/03/2020;11325;35
SO45723;23/03/2020;11290;199
SO45724;23/03/2020;12614;199
SO45725;23/03/2020;12620;199
SO45726;23/03/2020;11909;199
SO45727;23/03/2020;14789;199
SO45728;24/03/2020;11900;199
SO45729;24/03/2020;19792;199
SO45730;24/03/2020;11537;199
SO45731;24/03/2020;11630;199
SO45732;24/03/2020;11286;199
SO45733;24/03/2020;19965;199
SO45734;24/03/2020;11903;199
SO45735;24/03/2020;14426;199
SO45736;24/03/2020;19960;199
SO45737;24/03/2020;28471;199
SO45738;24/03/2020;15087;199
SO45739;24/03/2020;11624;199
SO45740;25/03/2020;19620;199
SO45741;25/03/2020;11894;199
SO45742;25/03/2020;19788;308
SO45743;25/03/2020;19786;308
SO45744;25/03/2020;19631;308
SO45745;26/03/2020;19966;308
SO45746;26/03/2020;14739;308
SO45747;26/03/2020;19772;308
SO45748;26/03/2020;11539;308
SO45749;26/03/2020;15089;308
SO45750;26/03/2020;26001;308
SO45751;26/03/2020;14797;308
SO45752;26/03/2020;18046;308
SO45753;26/03/2020;23376;308
SO45754;27/03/2020;11625;200
SO45755;27/03/2020;11529;308
SO45756;27/03/2020;11536;308
SO45757;28/03/2020;11329;200
SO45758;28/03/2020;12621;200
SO45759;28/03/2020;19652;200
SO45760;28/03/2020;11629;200
SO45761;28/03/2020;15106;200
SO45762;28/03/2020;19959;200
SO45763;28/03/2020;11295;200
SO45764;28/03/2020;12561;200
SO45765;29/03/2020;11327;200
SO45766;29/03/2020;11297;200
SO45767;29/03/2020;11299;200
SO45768;29/03/2020;11245;200
SO45769;29/03/2020;19956;200
SO45770;29/03/2020;11324;200
SO45771;30/03/2020;11271;200
SO45772;30/03/2020;19949;200
SO45773;30/03/2020;19785;295
SO45774;30/03/2020;11261;268
SO45775;31/03/2020;26002;300
SO45776;31/03/2020;11907;254
SO45777;31/03/2020;23281;270
SO45778;31/03/2020;14207;255
SO45816;01/04/2020;14868;260
SO45817;01/04/2020;25832;267
SO45818;01/04/2020;14801;278
SO45819;01/04/2020;11830;294
SO45820;01/04/2020;20160;269
SO45821;02/04/2020;26041;293
SO45822;02/04/2020;20253;272
SO45823;02/04/2020;20246;296
SO45824;03/04/2020;14753;264
SO45825;03/04/2020;11916;295
SO45826;03/04/2020;20158;294
SO45827;03/04/2020;23725;277
SO45828;03/04/2020;20151;267
SO45829;03/04/2020;15440;256
SO45830;03/04/2020;11696;268
SO45831;03/04/2020;20245;269
SO45832;03/04/2020;23858;265
SO45833;04/04/2020;26050;268
SO45834;04/04/2020;11915;281
SO45835;04/04/2020;20213;299
SO45836;04/04/2020;14823;281
SO45837;04/04/2020;11815;298
SO45838;04/04/2020;11688;270
SO45839;04/04/2020;11816;255
SO45841;05/04/2020;12804;292
SO45842;05/04/2020;11742;255
SO45843;05/04/2020;11812;299
SO45844;05/04/2020;11775;295
SO45845;06/04/2020;14852;265
SO45846;06/04/2020;26015;268
SO45847;06/04/2020;23566;272
SO45848;06/04/2020;23592;261
SO45849;06/04/2020;20154;293
SO45850;07/04/2020;18143;301
SO45851;07/04/2020;11952;272
SO45852;07/04/2020;14754;257
SO45853;07/04/2020;11919;294
SO45854;07/04/2020;20247;275
SO45855;07/04/2020;15453;293
SO45856;07/04/2020;15620;251
SO45857;07/04/2020;11683;276
SO45858;07/04/2020;11776;300
SO45859;08/04/2020;12650;268
SO45860;08/04/2020;12754;276
SO45861;08/04/2020;23829;254
SO45862;09/04/2020;19968;253
SO45863;09/04/2020;11873;261
SO45864;09/04/2020;14827;267
SO45865;09/04/2020;20157;292
SO45866;09/04/2020;15621;293
SO45867;10/04/2020;26012;307
SO45868;10/04/2020;25919;297
SO45869;10/04/2020;11772;267
SO45870;10/04/2020;14819;293
SO45871;10/04/2020;14822;297
SO45872;11/04/2020;11925;307
SO45873;11/04/2020;20007;307
SO45874;11/04/2020;19975;307
SO45875;11/04/2020;20242;307
SO45876;11/04/2020;11249;307
SO45877;11/04/2020;11910;307
SO45878;12/04/2020;11920;307
SO45879;12/04/2020;11745;307
SO45880;12/04/2020;26042;307
SO45881;12/04/2020;19443;307
SO45882;12/04/2020;23397;307
SO45883;12/04/2020;14880;307
SO45884;12/04/2020;11799;307
SO45885;12/04/2020;11678;307
SO45886;12/04/2020;12655;307
SO45887;12/04/2020;11707;307
SO45889;12/04/2020;12750;307
SO45890;13/04/2020;23842;310
SO45891;13/04/2020;11338;310
SO45892;13/04/2020;11380;310
SO45893;13/04/2020;20226;310
SO45894;14/04/2020;11727;310
SO45895;14/04/2020;12632;310
SO45896;14/04/2020;19450;310
SO45897;15/04/2020;20152;306
SO45898;15/04/2020;20214;306
SO45899;15/04/2020;23830;310
SO45900;15/04/2020;20241;310
SO45901;15/04/2020;20159;310
SO45902;15/04/2020;15614;310
SO45903;15/04/2020;11837;310
SO45904;15/04/2020;11665;310
SO45905;15/04/2020;11947;310
SO45906;15/04/2020;11918;310
SO45907;15/04/2020;15619;310
SO45908;15/04/2020;11933;310
SO45909;15/04/2020;11817;310
SO45910;16/04/2020;11797;306
SO45911;16/04/2020;11930;306
SO45912;16/04/2020;11777;306
SO45913;16/04/2020;26014;306
SO45914;16/04/2020;11964;306
SO45915;16/04/2020;23819;306
SO45916;16/04/2020;11929;306
SO45917;17/04/2020;11811;306
SO45918;17/04/2020;11798;306
SO45919;17/04/2020;11332;306
SO45920;17/04/2020;11942;306
SO45921;17/04/2020;11780;306
SO45922;17/04/2020;23731;306
SO45923;17/04/2020;23730;306
SO45924;17/04/2020;14803;306
SO45925;17/04/2020;11741;306
SO45926;18/04/2020;11825;306
SO45927;18/04/2020;23486;306
SO45928;18/04/2020;11796;306
SO45929;18/04/2020;18148;306
SO45930;18/04/2020;11813;306
SO45931;18/04/2020;20211;306
SO45932;18/04/2020;20249;306
SO45933;19/04/2020;11666;309
SO45934;19/04/2020;26016;309
SO45935;19/04/2020;19439;309
SO45936;19/04/2020;11779;309
SO45937;20/04/2020;11654;309
SO45938;20/04/2020;20219;309
SO45939;20/04/2020;20244;309
SO45940;20/04/2020;11943;309
SO45941;20/04/2020;14757;309
SO45942;20/04/2020;20221;309
SO45943;20/04/2020;19978;309
SO45944;20/04/2020;11914;309
SO45945;20/04/2020;14824;309
SO45946;20/04/2020;25920;309
SO45947;20/04/2020;20225;309
SO45948;21/04/2020;14879;309
SO45949;21/04/2020;19974;309
SO45950;21/04/2020;11944;309
SO45951;21/04/2020;11969;309
SO45952;21/04/2020;19970;309
SO45953;22/04/2020;11810;309
SO45954;22/04/2020;26055;203
SO45955;22/04/2020;23859;236
SO45956;22/04/2020;19979;222
SO45957;23/04/2020;11946;244
SO45958;23/04/2020;25921;236
SO45959;23/04/2020;11818;249
SO45960;23/04/2020;11872;203
SO45961;23/04/2020;11671;231
SO45962;23/04/2020;12717;225
SO45963;23/04/2020;11809;221
SO45964;23/04/2020;20238;211
SO45965;23/04/2020;20215;233
SO45966;23/04/2020;20227;214
SO45967;24/04/2020;19454;244
SO45968;24/04/2020;11834;236
SO45969;24/04/2020;20156;239
SO45971;25/04/2020;11335;243
SO45972;25/04/2020;19472;225
SO45973;25/04/2020;11967;240
SO45974;25/04/2020;14755;249
SO45975;25/04/2020;26018;250
SO45976;25/04/2020;11773;213
SO45977;25/04/2020;20216;240
SO45978;25/04/2020;20239;214
SO45979;26/04/2020;15630;217
SO45980;26/04/2020;15631;305
SO45981;26/04/2020;19977;305
SO45982;26/04/2020;12805;231
SO45983;27/04/2020;11976;304
SO45984;27/04/2020;12631;263
SO45985;27/04/2020;11690;225
SO45986;27/04/2020;11743;225
SO45987;27/04/2020;11675;238
SO45988;27/04/2020;11708;239
SO45989;27/04/2020;12711;226
SO45990;27/04/2020;14830;218
SO45991;27/04/2020;11854;219
SO45992;28/04/2020;25918;243
SO45993;28/04/2020;14756;237
SO45994;28/04/2020;19451;212
SO45995;28/04/2020;11774;246
SO45996;28/04/2020;11924;303
SO45997;28/04/2020;11839;221
SO45998;28/04/2020;23846;305
SO45999;29/04/2020;11831;200
SO46000;29/04/2020;11778;200
SO46001;29/04/2020;11826;200
SO46002;29/04/2020;12749;200
SO46003;29/04/2020;23806;200
SO46004;29/04/2020;11912;199
SO46005;29/04/2020;11917;199
SO46006;29/04/2020;20220;199
SO46007;29/04/2020;11664;205
SO46008;29/04/2020;23583;227
SO46009;29/04/2020;20236;227
SO46010;30/04/2020;11705;199
SO46011;30/04/2020;11489;199
SO46012;30/04/2020;11663;306
SO46013;30/04/2020;14752;306
SO46014;30/04/2020;19453;306
SO46015;30/04/2020;19971;307
SO46016;30/04/2020;11488;307
SO46017;30/04/2020;23511;307
SO46018;30/04/2020;23396;308
SO46019;30/04/2020;11885;309
SO46020;30/04/2020;20228;309
SO46021;30/04/2020;11968;192
SO46022;30/04/2020;11886;252
SO46108;01/05/2020;12169;306
SO46109;01/05/2020;20611;306
SO46110;01/05/2020;12053;306
SO46111;01/05/2020;20446;306
SO46112;01/05/2020;11945;306
SO46113;01/05/2020;12018;306
SO46114;01/05/2020;12104;309
SO46115;01/05/2020;12167;309
SO46116;01/05/2020;25927;309
SO46117;01/05/2020;14912;237
SO46118;01/05/2020;11937;249
SO46119;01/05/2020;11955;247
SO46120;02/05/2020;12152;309
SO46121;02/05/2020;12023;309
SO46122;02/05/2020;12069;309
SO46123;02/05/2020;20447;309
SO46124;02/05/2020;24284;309
SO46125;03/05/2020;14895;310
SO46127;03/05/2020;20420;310
SO46128;03/05/2020;14945;310
SO46129;03/05/2020;11956;269
SO46130;04/05/2020;13405;307
SO46131;04/05/2020;11991;307
SO46132;04/05/2020;20259;307
SO46133;04/05/2020;20426;307
SO46134;04/05/2020;11954;307
SO46135;04/05/2020;23865;307
SO46136;04/05/2020;12105;310
SO46137;04/05/2020;12171;310
SO46138;04/05/2020;11977;310
SO46139;04/05/2020;20416;310
SO46140;04/05/2020;20600;310
SO46142;05/05/2020;24310;307
SO46143;05/05/2020;26090;307
SO46144;05/05/2020;26094;307
SO46146;06/05/2020;11989;200
SO46147;06/05/2020;12052;200
SO46148;06/05/2020;25928;200
SO46149;06/05/2020;20569;200
SO46150;06/05/2020;19476;200
SO46151;06/05/2020;12120;200
SO46153;06/05/2020;11421;306
SO46154;06/05/2020;26082;306
SO46155;07/05/2020;12076;200
SO46156;07/05/2020;26056;200
SO46157;07/05/2020;25926;200
SO46158;07/05/2020;12118;200
SO46159;07/05/2020;11996;200
SO46160;08/05/2020;12163;199
SO46161;08/05/2020;12042;199
SO46162;08/05/2020;12094;199
SO46163;08/05/2020;25936;199
SO46164;08/05/2020;12141;199
SO46165;08/05/2020;11997;308
SO46166;08/05/2020;15657;308
SO46167;08/05/2020;12079;308
SO46168;08/05/2020;12819;308
SO46169;08/05/2020;11412;308
SO46170;09/05/2020;12030;308
SO46171;09/05/2020;12003;308
SO46172;09/05/2020;20608;132
SO46173;09/05/2020;20283;168
SO46174;09/05/2020;12156;189
SO46175;09/05/2020;24342;193
SO46176;10/05/2020;11491;137
SO46177;10/05/2020;25937;50
SO46178;10/05/2020;12102;184
SO46179;11/05/2020;12004;41
SO46180;11/05/2020;11995;186
